[2018-7-19 7:24:18] [111.85.235.229] 角色名:日你锅敲	Ident:3017		Recog:5963874		Param:-14048		tag:58		series:5275		string:
[2018-7-19 7:24:20] [111.85.235.229] 角色名:日你锅敲	Ident:3017		Recog:6029411		Param:-14048		tag:58		series:5275		string:
[2018-7-19 7:24:21] [111.85.235.229] 角色名:日你锅敲	Ident:1108		Recog:0		Param:0		tag:0		series:0		string:
[2018-7-19 7:24:23] [111.85.235.229] 角色名:日你锅敲	Ident:3017		Recog:6029412		Param:0		tag:58		series:0		string:
[2018-7-19 7:24:24] [111.85.235.229] 角色名:日你锅敲	Ident:3017		Recog:6029413		Param:0		tag:58		series:0		string:
[2018-7-19 7:24:25] [111.85.235.229] 角色名:日你锅敲	Ident:3017		Recog:6029413		Param:0		tag:58		series:0		string:
[2018-7-19 7:24:27] [111.85.235.229] 角色名:日你锅敲	Ident:3017		Recog:6029413		Param:0		tag:58		series:0		string:
[2018-7-19 7:24:29] [111.85.235.229] 角色名:日你锅敲	Ident:3017		Recog:6029413		Param:0		tag:58		series:0		string:
[2018-7-19 7:24:30] [111.85.235.229] 角色名:日你锅敲	Ident:3017		Recog:6029413		Param:0		tag:58		series:0		string:
[2018-7-19 7:24:34] [111.85.235.229] 角色名:日你锅敲	Ident:3011		Recog:6226019		Param:0		tag:6		series:0		string:
[2018-7-19 7:24:35] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:6357089		Param:0		tag:5		series:0		string:
[2018-7-19 7:24:36] [111.85.235.229] 角色名:日你锅敲	Ident:1010		Recog:234866048		Param:0		tag:0		series:0		string:
[2018-7-19 7:24:37] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:6488159		Param:0		tag:5		series:0		string:
[2018-7-19 7:24:37] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:6619229		Param:0		tag:5		series:0		string:
[2018-7-19 7:24:38] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:6750299		Param:0		tag:5		series:0		string:
[2018-7-19 7:24:39] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:6881369		Param:0		tag:5		series:0		string:
[2018-7-19 7:24:39] [111.85.235.229] 角色名:日你锅敲	Ident:1105		Recog:345705632		Param:86		tag:106		series:0		string:
[2018-7-19 7:25:2] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:7012439		Param:0		tag:5		series:0		string:
[2018-7-19 7:25:2] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:7143511		Param:0		tag:4		series:0		string:
[2018-7-19 7:25:3] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:7274583		Param:0		tag:4		series:0		string:
[2018-7-19 7:25:4] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:7405653		Param:0		tag:5		series:0		string:
[2018-7-19 7:25:4] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:7536723		Param:0		tag:5		series:0		string:
[2018-7-19 7:25:5] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:7667793		Param:0		tag:5		series:0		string:
[2018-7-19 7:25:6] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:7667791		Param:0		tag:6		series:0		string:
[2018-7-19 7:25:7] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:7536717		Param:0		tag:7		series:0		string:
[2018-7-19 7:25:7] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:7405643		Param:0		tag:7		series:0		string:
[2018-7-19 7:25:8] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:7274569		Param:0		tag:7		series:0		string:
[2018-7-19 7:25:8] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:7405643		Param:0		tag:3		series:0		string:
[2018-7-19 7:25:9] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:7536717		Param:0		tag:3		series:0		string:
[2018-7-19 7:25:10] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:7667787		Param:0		tag:5		series:0		string:
[2018-7-19 7:25:11] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:7798857		Param:0		tag:5		series:0		string:
[2018-7-19 7:25:11] [111.85.235.229] 角色名:日你锅敲	Ident:1105		Recog:354099280		Param:68		tag:122		series:0		string:
[2018-7-19 7:25:11] [111.85.235.229] 角色名:日你锅敲	Ident:3017		Recog:7995460		Param:8272		tag:58		series:5403		string:
[2018-7-19 7:25:13] [111.85.235.229] 角色名:日你锅敲	Ident:1108		Recog:0		Param:0		tag:0		series:0		string:
[2018-7-19 7:25:16] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:7667783		Param:0		tag:7		series:0		string:
[2018-7-19 7:25:17] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:7536709		Param:0		tag:7		series:0		string:
[2018-7-19 7:25:18] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:7405637		Param:0		tag:0		series:0		string:
[2018-7-19 7:25:19] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:7274563		Param:0		tag:7		series:0		string:
[2018-7-19 7:25:19] [111.85.235.229] 角色名:日你锅敲	Ident:1105		Recog:345747696		Param:61		tag:110		series:0		string:
[2018-7-19 7:25:19] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:7143489		Param:0		tag:7		series:0		string:
[2018-7-19 7:25:19] [111.85.235.229] 角色名:日你锅敲	Ident:1105		Recog:345747696		Param:61		tag:110		series:0		string:
[2018-7-19 7:25:21] [111.85.235.229] 角色名:日你锅敲	Ident:3017		Recog:7143485		Param:0		tag:58		series:0		string:
[2018-7-19 7:25:22] [111.85.235.229] 角色名:日你锅敲	Ident:3017		Recog:7143489		Param:0		tag:58		series:0		string:
[2018-7-19 7:25:24] [111.85.235.229] 角色名:日你锅敲	Ident:3017		Recog:7012418		Param:0		tag:58		series:0		string:
[2018-7-19 7:25:26] [111.85.235.229] 角色名:日你锅敲	Ident:1108		Recog:0		Param:0		tag:0		series:0		string:
[2018-7-19 7:25:28] [111.85.235.229] 角色名:日你锅敲	Ident:3014		Recog:7143489		Param:0		tag:3		series:0		string:
[2018-7-19 7:25:29] [111.85.235.229] 角色名:日你锅敲	Ident:3011		Recog:7077952		Param:0		tag:7		series:0		string:
[2018-7-19 7:25:30] [111.85.235.229] 角色名:日你锅敲	Ident:3011		Recog:7012416		Param:0		tag:0		series:0		string:
[2018-7-19 7:25:30] [111.85.235.229] 角色名:日你锅敲	Ident:1001		Recog:0		Param:64		tag:107		series:0		string:
[2018-7-19 7:25:31] [111.85.235.229] 角色名:日你锅敲	Ident:1001		Recog:0		Param:64		tag:107		series:0		string:
[2018-7-19 7:25:31] [111.85.235.229] 角色名:日你锅敲	Ident:1001		Recog:0		Param:64		tag:107		series:0		string:
[2018-7-19 7:25:34] [111.85.235.229] 角色名:日你锅敲	Ident:1006		Recog:247097066		Param:0		tag:0		series:31		string:
[2018-7-19 7:25:41] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:6881342		Param:0		tag:7		series:0		string:
[2018-7-19 7:25:42] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:6750268		Param:0		tag:7		series:0		string:
[2018-7-19 7:25:42] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:6619194		Param:0		tag:7		series:0		string:
[2018-7-19 7:25:43] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:6488120		Param:0		tag:7		series:0		string:
[2018-7-19 7:25:44] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:6357046		Param:0		tag:7		series:0		string:
[2018-7-19 7:25:44] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:6225972		Param:0		tag:7		series:0		string:
[2018-7-19 7:25:45] [111.85.235.229] 角色名:日你锅敲	Ident:3011		Recog:6225971		Param:0		tag:6		series:0		string:
[2018-7-19 7:25:45] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:6357041		Param:0		tag:5		series:0		string:
[2018-7-19 7:25:46] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:6225967		Param:0		tag:7		series:0		string:
[2018-7-19 7:25:47] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:6094893		Param:0		tag:7		series:0		string:
[2018-7-19 7:25:48] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:5963819		Param:0		tag:7		series:0		string:
[2018-7-19 7:25:48] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:5832745		Param:0		tag:7		series:0		string:
[2018-7-19 7:25:49] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:5701671		Param:0		tag:7		series:0		string:
[2018-7-19 7:25:50] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:5570599		Param:0		tag:0		series:0		string:
[2018-7-19 7:25:50] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:5439529		Param:0		tag:1		series:0		string:
[2018-7-19 7:25:51] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:5308459		Param:0		tag:1		series:0		string:
[2018-7-19 7:25:52] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:5177389		Param:0		tag:1		series:0		string:
[2018-7-19 7:25:52] [111.85.235.229] 角色名:日你锅敲	Ident:1006		Recog:247079030		Param:0		tag:0		series:0		string:
[2018-7-19 7:25:52] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:5046319		Param:0		tag:1		series:0		string:
[2018-7-19 7:25:53] [111.85.235.229] 角色名:日你锅敲	Ident:1006		Recog:247079024		Param:0		tag:0		series:0		string:
[2018-7-19 7:25:53] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:4915249		Param:0		tag:1		series:0		string:
[2018-7-19 7:25:54] [111.85.235.229] 角色名:日你锅敲	Ident:3017		Recog:4718639		Param:21040		tag:58		series:5275		string:
[2018-7-19 7:25:55] [111.85.235.229] 角色名:日你锅敲	Ident:3017		Recog:4718639		Param:21040		tag:58		series:5275		string:
[2018-7-19 7:25:56] [111.85.235.229] 角色名:日你锅敲	Ident:1108		Recog:0		Param:0		tag:0		series:0		string:
[2018-7-19 7:25:57] [111.85.235.229] 角色名:日你锅敲	Ident:3017		Recog:4784176		Param:21040		tag:58		series:5275		string:
[2018-7-19 7:25:58] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:4784179		Param:0		tag:1		series:0		string:
[2018-7-19 7:25:58] [111.85.235.229] 角色名:日你锅敲	Ident:1006		Recog:247079031		Param:0		tag:0		series:0		string:
[2018-7-19 7:25:58] [111.85.235.229] 角色名:日你锅敲	Ident:1006		Recog:247079033		Param:0		tag:0		series:0		string:
[2018-7-19 7:25:58] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:4653109		Param:0		tag:1		series:0		string:
[2018-7-19 7:25:59] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:4522037		Param:0		tag:0		series:0		string:
[2018-7-19 7:25:59] [111.85.235.229] 角色名:日你锅敲	Ident:1006		Recog:247079023		Param:0		tag:0		series:0		string:
[2018-7-19 7:26:0] [111.85.235.229] 角色名:日你锅敲	Ident:3017		Recog:4784176		Param:21040		tag:58		series:5275		string:
[2018-7-19 7:26:2] [111.85.235.229] 角色名:日你锅敲	Ident:3017		Recog:4784176		Param:21040		tag:58		series:5275		string:
[2018-7-19 7:26:3] [111.85.235.229] 角色名:日你锅敲	Ident:3017		Recog:4784176		Param:21040		tag:58		series:5275		string:
[2018-7-19 7:26:5] [111.85.235.229] 角色名:日你锅敲	Ident:3017		Recog:4784176		Param:21040		tag:58		series:5275		string:
[2018-7-19 7:26:7] [111.85.235.229] 角色名:日你锅敲	Ident:3017		Recog:4784176		Param:21040		tag:58		series:5275		string:
[2018-7-19 7:26:8] [111.85.235.229] 角色名:日你锅敲	Ident:3017		Recog:4784176		Param:21040		tag:58		series:5275		string:
[2018-7-19 7:26:10] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:4390967		Param:0		tag:1		series:0		string:
[2018-7-19 7:26:10] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:4259897		Param:0		tag:1		series:0		string:
[2018-7-19 7:26:11] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:4390971		Param:0		tag:3		series:0		string:
[2018-7-19 7:26:12] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:4522045		Param:0		tag:3		series:0		string:
[2018-7-19 7:26:12] [111.85.235.229] 角色名:日你锅敲	Ident:1006		Recog:247079034		Param:0		tag:0		series:0		string:
[2018-7-19 7:26:12] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:4522047		Param:0		tag:2		series:0		string:
[2018-7-19 7:26:13] [111.85.235.229] 角色名:日你锅敲	Ident:1006		Recog:247079036		Param:0		tag:0		series:0		string:
[2018-7-19 7:26:13] [111.85.235.229] 角色名:日你锅敲	Ident:1006		Recog:247079037		Param:0		tag:0		series:0		string:
[2018-7-19 7:26:13] [111.85.235.229] 角色名:日你锅敲	Ident:1006		Recog:247079037		Param:0		tag:0		series:0		string:
[2018-7-19 7:26:13] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:4522049		Param:0		tag:2		series:0		string:
[2018-7-19 7:26:13] [111.85.235.229] 角色名:日你锅敲	Ident:1006		Recog:247079035		Param:0		tag:0		series:0		string:
[2018-7-19 7:26:14] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:4522051		Param:0		tag:2		series:0		string:
[2018-7-19 7:26:14] [111.85.235.229] 角色名:日你锅敲	Ident:1006		Recog:247079032		Param:0		tag:0		series:0		string:
[2018-7-19 7:26:14] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:4522053		Param:0		tag:2		series:0		string:
[2018-7-19 7:26:15] [111.85.235.229] 角色名:日你锅敲	Ident:1006		Recog:247079038		Param:0		tag:0		series:0		string:
[2018-7-19 7:26:15] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:4522055		Param:0		tag:2		series:0		string:
[2018-7-19 7:26:15] [111.85.235.229] 角色名:日你锅敲	Ident:1006		Recog:247079037		Param:0		tag:0		series:0		string:
[2018-7-19 7:26:16] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:4522057		Param:0		tag:2		series:0		string:
[2018-7-19 7:26:16] [111.85.235.229] 角色名:日你锅敲	Ident:1006		Recog:247079041		Param:0		tag:0		series:0		string:
[2018-7-19 7:26:17] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:4653131		Param:0		tag:3		series:0		string:
